"County","Station # *","Location Type","Name of Location","Deer Service Type","Bear Registration Type","Physical Address","City","Zip","Phone","Notes"
"Waukesha","6813","1. CWD sampling with assistance","WHALE TALES ARCHERY","CWD Testing and electronic registration options available","Electronic registration options available","109 MAIN ST.","DOUSMAN","53118","262-965-2825","Store front will be closed during 9-day Gun Deer Season, Nov 23 - Dec 1. There is a self-sampling kiosk available outside of business for drop-off 24/7.   Open for assisted sampling during normal business hours: Sun: CLOSED M: CLOSED T: 10:00AM-6:00PM W: 10:00AM-6:00PM Th: 10:00AM-6:00PM F: 10:00AM-6:00PM Sat: 10:00AM-3:00PM  There is a self-sampling kiosk available outside of business for drop-off 24/7."
"Waupaca","6900","3. CWD sampling by appointment only","WDNR WILDLIFE BIOLOGIST","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N2480 HARTMAN CREEK RD","WAUPACA","54981","920-420-0384","BY APPOINTMENT:  MON-FRI 8AM TO 4PM.  Contact WDNR Wildlife Biologist - Jacob Fries - 920-420-0384 or jacob.fries@wisconsin.gov"
"Waupaca","6999","2. CWD sampling self-service kiosk","HARTMAN CREEK STATE PARK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N2480 HARTMAN RD","WAUPACA","54981","920-420-0384","6AM - 11PM - Self-service Kiosk available in Hartman Creek State Park entrance visitor parking lot.  Kiosk is at south-east corner of lot near firewood shed.  Please note:  Park Staff are not available to assist in CWD sampling. For questions contact WDNR  Wildlife Biologist - Jacob Fries - 920-420-0384 or jacob.fries@wisconsin.gov"
"Waupaca","6971","1. CWD sampling with assistance","JR'S SPORT SHOP","CWD Testing Only - Must have completed electronic registration","Not Available for bear","195 E STATE STREET","IOLA","54945-9514","715-412-3403","MON-FRI 8AM-6PM; SAT 8AM-5PM; SUN & HOLIDAYS 9AM-4PM"
"Waushara","7091","3. CWD sampling by appointment only","ALL SEASON TAXIDERMY","CWD Testing Only - Must have completed electronic registration","Not Available for bear","W9711 BEECHNUT DR.","WAUTOMA","54982","920-765-1078","By appointment...call ahead."
"Waushara","7000","3. CWD sampling by appointment only","WDNR WILDLIFE BIOLOGIST","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N2480 HARTMAN CREEK RD","WAUPACA","54981","920-420-0384","BY APPOINTMENT:  MON-FRI 8AM TO 4PM.  Contact WDNR Wildlife Biologist - Jacob Fries - 920-420-0384 or jacob.fries@wisconsin.gov"
"Waushara","7070","2. CWD sampling self-service kiosk","WAUTOMA DNR STATION","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N2130 STATE HIGHWAY 22","WAUTOMA","54982","920-420-0384","Open 24 HRS; Notify Jacob Fries at 920-420-0384 when a head has been dropped off at the station."
"Waushara","7094","1. CWD sampling with assistance","C&J PROCESSING","CWD Testing Only - Must have completed electronic registration","Not Available for bear","622 WARREN STREET","REDGRANITE","54970","920-240-9766",""
"Winnebago","7198","3. CWD sampling by appointment only","DNR OSHKOSH SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","625 E COUNTY RD. Y","OSHKOSH","54901","920-420-5830","Monday - Friday 8am - 4pm APPOINTMENT ONLY. Alternative phone number (920) 420-1543."
"Winnebago","7199","2. CWD sampling self-service kiosk","OSHKOSH DNR SERVICE CENTER KIOSK","CWD Testing Only - Must have completed electronic registration","Not Available for bear","625 EAST COUNTY ROAD Y","OSHKOSH","54901","920-420-5830","Kiosk is blaze orange and located behind the Oshkosh DNR Service Center, in front of the south shed. CWD Testing is available 24-hours a day.  Alternative phone number (920) 420-1543."
"Winnebago","7191","2. CWD sampling self-service kiosk","CRITTER'S WOLF RIVER SPORTS","CWD Testing and electronic registration options available","Electronic registration options available","700 W MAIN ST.","WINNECONNE","54986-9403","920-582-0471","Registration available 8:00 am - 6:00 pm, Tuesday - Friday.  8:00 am - 4:00 pm, Saturday - Monday.  After hours registration available at bar and grill. CWD testing is available 24-hours a day. Kiosk is blaze orange and located near the back door. Alternative phone number (920) 420-1543."
"Winnebago","7194","2. CWD sampling self-service kiosk","NEPEUSKUN TOWN HALL","CWD Testing Only - Must have completed electronic registration","Not Available for bear","8605 LAKE RD.","RIPON","54971","920-748-2967","Kiosk is blaze orange and located in the parking lot near the Town Hall building. Testing is available 24-hours a day. Alternative phone number (920) 420-1543."
"Winnebago, Fond du Lac","7196","2. CWD sampling self-service kiosk","WENDT'S ON THE LAKE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","N9699 LAKESHORE DR.","VAN DYNE","54979","920-420-5830","Kiosk is blaze orange and located in the overflow parking lot near the lake.  CWD testing is available 24-hours a day. Alternative phone number is (920) 420-1543."
"Wood","7299","2. CWD sampling self-service kiosk","WISCONSIN RAPIDS DNR SERVICE CENTER","CWD Testing Only - Must have completed electronic registration","Not Available for bear","473 GRIFFITH AVE","WISCONSIN RAPIDS","54494","715-697-3129","Kiosk available  Please have Tag #, Customer ID number, and location data ready to fill out Data Sheet"
"Wood, Adams","7223","2. CWD sampling self-service kiosk","WHITETAIL CROSSING CONVENIENCE STORE","CWD Testing Only - Must have completed electronic registration","Not Available for bear","948 COUNTY ROAD G","NEKOOSA","54457","715-284-2852","24/7 Self-Serve Kiosk  Please have Tag # and Customer ID number ready to fill out Data Sheet"
